area_code,area_name,area_type,period,indicator,measure,unit,value,compared_to_England,inequality
E09000006,Bromley,UA,2013/14,Children cautioned or sentenced,Count,Children,183,NA,NA
E09000006,Bromley,UA,2013/14,Children cautioned or sentenced,"Per 10,000 aged 10-17",Children,62,NA,NA
E06000060,Buckinghamshire,UA,2013/14,Children cautioned or sentenced,Count,Children,237,NA,NA
E06000060,Buckinghamshire,UA,2013/14,Children cautioned or sentenced,"Per 10,000 aged 10-17",Children,46,NA,NA
E10000003,Cambridgeshire,UA,2013/14,Children cautioned or sentenced,Count,Children,407,NA,NA
E10000003,Cambridgeshire,UA,2013/14,Children cautioned or sentenced,"Per 10,000 aged 10-17",Children,73,NA,NA
E10000013,Gloucestershire,UA,2013/14,Children cautioned or sentenced,Count,Children,364,NA,NA
E10000013,Gloucestershire,UA,2013/14,Children cautioned or sentenced,"Per 10,000 aged 10-17",Children,66,NA,NA
E10000015,Hertfordshire,UA,2013/14,Children cautioned or sentenced,Count,Children,645,NA,NA
E10000015,Hertfordshire,UA,2013/14,Children cautioned or sentenced,"Per 10,000 aged 10-17",Children,59,NA,NA
E10000025,Oxfordshire,UA,2013/14,Children cautioned or sentenced,Count,Children,368,NA,NA
E10000025,Oxfordshire,UA,2013/14,Children cautioned or sentenced,"Per 10,000 aged 10-17",Children,62,NA,NA
E08000029,Solihull,UA,2013/14,Children cautioned or sentenced,Count,Children,109,NA,NA
E08000029,Solihull,UA,2013/14,Children cautioned or sentenced,"Per 10,000 aged 10-17",Children,52,NA,NA
E08000007,Stockport,UA,2013/14,Children cautioned or sentenced,Count,Children,173,NA,NA
E08000007,Stockport,UA,2013/14,Children cautioned or sentenced,"Per 10,000 aged 10-17",Children,66,NA,NA
E10000030,Surrey,UA,2013/14,Children cautioned or sentenced,Count,Children,354,NA,NA
E10000030,Surrey,UA,2013/14,Children cautioned or sentenced,"Per 10,000 aged 10-17",Children,33,NA,NA
E08000009,Trafford,UA,2013/14,Children cautioned or sentenced,Count,Children,118,NA,NA
E08000009,Trafford,UA,2013/14,Children cautioned or sentenced,"Per 10,000 aged 10-17",Children,52,NA,NA
E09000006,Bromley,UA,2014/15,Children cautioned or sentenced,Count,Children,204,NA,NA
E09000006,Bromley,UA,2014/15,Children cautioned or sentenced,"Per 10,000 aged 10-17",Children,69,NA,NA
E06000060,Buckinghamshire,UA,2014/15,Children cautioned or sentenced,Count,Children,200,NA,NA
E06000060,Buckinghamshire,UA,2014/15,Children cautioned or sentenced,"Per 10,000 aged 10-17",Children,38,NA,NA
E10000003,Cambridgeshire,UA,2014/15,Children cautioned or sentenced,Count,Children,337,NA,NA
E10000003,Cambridgeshire,UA,2014/15,Children cautioned or sentenced,"Per 10,000 aged 10-17",Children,60,NA,NA
E10000013,Gloucestershire,UA,2014/15,Children cautioned or sentenced,Count,Children,224,NA,NA
E10000013,Gloucestershire,UA,2014/15,Children cautioned or sentenced,"Per 10,000 aged 10-17",Children,41,NA,NA
E10000015,Hertfordshire,UA,2014/15,Children cautioned or sentenced,Count,Children,634,NA,NA
E10000015,Hertfordshire,UA,2014/15,Children cautioned or sentenced,"Per 10,000 aged 10-17",Children,57,NA,NA
E10000025,Oxfordshire,UA,2014/15,Children cautioned or sentenced,Count,Children,293,NA,NA
E10000025,Oxfordshire,UA,2014/15,Children cautioned or sentenced,"Per 10,000 aged 10-17",Children,49,NA,NA
E08000029,Solihull,UA,2014/15,Children cautioned or sentenced,Count,Children,109,NA,NA
E08000029,Solihull,UA,2014/15,Children cautioned or sentenced,"Per 10,000 aged 10-17",Children,53,NA,NA
E08000007,Stockport,UA,2014/15,Children cautioned or sentenced,Count,Children,155,NA,NA
E08000007,Stockport,UA,2014/15,Children cautioned or sentenced,"Per 10,000 aged 10-17",Children,60,NA,NA
E10000030,Surrey,UA,2014/15,Children cautioned or sentenced,Count,Children,296,NA,NA
E10000030,Surrey,UA,2014/15,Children cautioned or sentenced,"Per 10,000 aged 10-17",Children,27,NA,NA
E08000009,Trafford,UA,2014/15,Children cautioned or sentenced,Count,Children,125,NA,NA
E08000009,Trafford,UA,2014/15,Children cautioned or sentenced,"Per 10,000 aged 10-17",Children,54,NA,NA
E09000006,Bromley,UA,2015/16,Children cautioned or sentenced,Count,Children,176,NA,NA
E09000006,Bromley,UA,2015/16,Children cautioned or sentenced,"Per 10,000 aged 10-17",Children,59,NA,NA
E06000060,Buckinghamshire,UA,2015/16,Children cautioned or sentenced,Count,Children,198,NA,NA
E06000060,Buckinghamshire,UA,2015/16,Children cautioned or sentenced,"Per 10,000 aged 10-17",Children,37,NA,NA
E10000003,Cambridgeshire,UA,2015/16,Children cautioned or sentenced,Count,Children,289,NA,NA
E10000003,Cambridgeshire,UA,2015/16,Children cautioned or sentenced,"Per 10,000 aged 10-17",Children,52,NA,NA
E10000013,Gloucestershire,UA,2015/16,Children cautioned or sentenced,Count,Children,286,NA,NA
E10000013,Gloucestershire,UA,2015/16,Children cautioned or sentenced,"Per 10,000 aged 10-17",Children,52,NA,NA
E10000015,Hertfordshire,UA,2015/16,Children cautioned or sentenced,Count,Children,599,NA,NA
E10000015,Hertfordshire,UA,2015/16,Children cautioned or sentenced,"Per 10,000 aged 10-17",Children,54,NA,NA
E10000025,Oxfordshire,UA,2015/16,Children cautioned or sentenced,Count,Children,270,NA,NA
E10000025,Oxfordshire,UA,2015/16,Children cautioned or sentenced,"Per 10,000 aged 10-17",Children,44,NA,NA
E08000029,Solihull,UA,2015/16,Children cautioned or sentenced,Count,Children,98,NA,NA
E08000029,Solihull,UA,2015/16,Children cautioned or sentenced,"Per 10,000 aged 10-17",Children,48,NA,NA
E08000007,Stockport,UA,2015/16,Children cautioned or sentenced,Count,Children,165,NA,NA
E08000007,Stockport,UA,2015/16,Children cautioned or sentenced,"Per 10,000 aged 10-17",Children,63,NA,NA
E10000030,Surrey,UA,2015/16,Children cautioned or sentenced,Count,Children,241,NA,NA
E10000030,Surrey,UA,2015/16,Children cautioned or sentenced,"Per 10,000 aged 10-17",Children,22,NA,NA
E08000009,Trafford,UA,2015/16,Children cautioned or sentenced,Count,Children,105,NA,NA
E08000009,Trafford,UA,2015/16,Children cautioned or sentenced,"Per 10,000 aged 10-17",Children,45,NA,NA
E09000006,Bromley,UA,2016/17,Children cautioned or sentenced,Count,Children,142,NA,NA
E09000006,Bromley,UA,2016/17,Children cautioned or sentenced,"Per 10,000 aged 10-17",Children,47,NA,NA
E06000060,Buckinghamshire,UA,2016/17,Children cautioned or sentenced,Count,Children,204,NA,NA
E06000060,Buckinghamshire,UA,2016/17,Children cautioned or sentenced,"Per 10,000 aged 10-17",Children,38,NA,NA
E10000003,Cambridgeshire,UA,2016/17,Children cautioned or sentenced,Count,Children,342,NA,NA
E10000003,Cambridgeshire,UA,2016/17,Children cautioned or sentenced,"Per 10,000 aged 10-17",Children,61,NA,NA
E10000013,Gloucestershire,UA,2016/17,Children cautioned or sentenced,Count,Children,242,NA,NA
E10000013,Gloucestershire,UA,2016/17,Children cautioned or sentenced,"Per 10,000 aged 10-17",Children,44,NA,NA
E10000015,Hertfordshire,UA,2016/17,Children cautioned or sentenced,Count,Children,629,NA,NA
E10000015,Hertfordshire,UA,2016/17,Children cautioned or sentenced,"Per 10,000 aged 10-17",Children,55,NA,NA
E10000025,Oxfordshire,UA,2016/17,Children cautioned or sentenced,Count,Children,240,NA,NA
