area_code,area_name,period,indicator,measure,unit,value
E09000006,Bromley,2017/18,% of children living in relative low income families: Aged 0-15,Percentage,Persons,9.6
E06000060,Buckinghamshire,2017/18,% of children living in relative low income families: Aged 0-15,Percentage,Persons,11.5
E10000003,Cambridgeshire,2017/18,% of children living in relative low income families: Aged 0-15,Percentage,Persons,13.3
E06000049,Cheshire East,2017/18,% of children living in relative low income families: Aged 0-15,Percentage,Persons,13.1
E92000001,England,2017/18,% of children living in relative low income families: Aged 0-15,Percentage,Persons,19.4
E10000013,Gloucestershire,2017/18,% of children living in relative low income families: Aged 0-15,Percentage,Persons,15.2
E10000015,Hertfordshire,2017/18,% of children living in relative low income families: Aged 0-15,Percentage,Persons,11
E10000025,Oxfordshire,2017/18,% of children living in relative low income families: Aged 0-15,Percentage,Persons,10.3
E08000029,Solihull,2017/18,% of children living in relative low income families: Aged 0-15,Percentage,Persons,14.1
E08000007,Stockport,2017/18,% of children living in relative low income families: Aged 0-15,Percentage,Persons,15.6
E10000030,Surrey,2017/18,% of children living in relative low income families: Aged 0-15,Percentage,Persons,7.9
E08000009,Trafford,2017/18,% of children living in relative low income families: Aged 0-15,Percentage,Persons,13.6
E09000006,Bromley,2018/19,% of children living in relative low income families: Aged 0-15,Percentage,Persons,8.7
E06000060,Buckinghamshire,2018/19,% of children living in relative low income families: Aged 0-15,Percentage,Persons,11
E10000003,Cambridgeshire,2018/19,% of children living in relative low income families: Aged 0-15,Percentage,Persons,12.2
E06000049,Cheshire East,2018/19,% of children living in relative low income families: Aged 0-15,Percentage,Persons,12.2
E92000001,England,2018/19,% of children living in relative low income families: Aged 0-15,Percentage,Persons,18.2
E10000013,Gloucestershire,2018/19,% of children living in relative low income families: Aged 0-15,Percentage,Persons,14
E10000015,Hertfordshire,2018/19,% of children living in relative low income families: Aged 0-15,Percentage,Persons,10.2
E10000025,Oxfordshire,2018/19,% of children living in relative low income families: Aged 0-15,Percentage,Persons,9.6
E08000029,Solihull,2018/19,% of children living in relative low income families: Aged 0-15,Percentage,Persons,12.9
E08000007,Stockport,2018/19,% of children living in relative low income families: Aged 0-15,Percentage,Persons,14.8
E10000030,Surrey,2018/19,% of children living in relative low income families: Aged 0-15,Percentage,Persons,7.5
E08000009,Trafford,2018/19,% of children living in relative low income families: Aged 0-15,Percentage,Persons,12.4
E09000006,Bromley,2019/20,% of children living in relative low income families: Aged 0-15,Percentage,Persons,9.8
E06000060,Buckinghamshire,2019/20,% of children living in relative low income families: Aged 0-15,Percentage,Persons,12.7
E10000003,Cambridgeshire,2019/20,% of children living in relative low income families: Aged 0-15,Percentage,Persons,14.3
E06000049,Cheshire East,2019/20,% of children living in relative low income families: Aged 0-15,Percentage,Persons,14.5
E92000001,England,2019/20,% of children living in relative low income families: Aged 0-15,Percentage,Persons,21.1
E10000013,Gloucestershire,2019/20,% of children living in relative low income families: Aged 0-15,Percentage,Persons,16.5
E10000015,Hertfordshire,2019/20,% of children living in relative low income families: Aged 0-15,Percentage,Persons,12.1
