area_code,area_name,period,indicator,measure,unit,value
E09000006,Bromley,2016/17,"Pupils reaching the expected standard at the end of key stage 2 in reading, writing and mathematics",Percentage,Persons,76
E06000060,Buckinghamshire,2016/17,"Pupils reaching the expected standard at the end of key stage 2 in reading, writing and mathematics",Percentage,Persons,NA
E10000003,Cambridgeshire,2016/17,"Pupils reaching the expected standard at the end of key stage 2 in reading, writing and mathematics",Percentage,Persons,59
E06000049,Cheshire East,2016/17,"Pupils reaching the expected standard at the end of key stage 2 in reading, writing and mathematics",Percentage,Persons,64
E92000001,England,2016/17,"Pupils reaching the expected standard at the end of key stage 2 in reading, writing and mathematics",Percentage,Persons,62
E10000013,Gloucestershire,2016/17,"Pupils reaching the expected standard at the end of key stage 2 in reading, writing and mathematics",Percentage,Persons,62
E10000015,Hertfordshire,2016/17,"Pupils reaching the expected standard at the end of key stage 2 in reading, writing and mathematics",Percentage,Persons,65
E10000025,Oxfordshire,2016/17,"Pupils reaching the expected standard at the end of key stage 2 in reading, writing and mathematics",Percentage,Persons,61
E08000029,Solihull,2016/17,"Pupils reaching the expected standard at the end of key stage 2 in reading, writing and mathematics",Percentage,Persons,65
E08000007,Stockport,2016/17,"Pupils reaching the expected standard at the end of key stage 2 in reading, writing and mathematics",Percentage,Persons,64
E10000030,Surrey,2016/17,"Pupils reaching the expected standard at the end of key stage 2 in reading, writing and mathematics",Percentage,Persons,67
E08000009,Trafford,2016/17,"Pupils reaching the expected standard at the end of key stage 2 in reading, writing and mathematics",Percentage,Persons,72
E09000006,Bromley,2017/18,"Pupils reaching the expected standard at the end of key stage 2 in reading, writing and mathematics",Percentage,Persons,75
E06000060,Buckinghamshire,2017/18,"Pupils reaching the expected standard at the end of key stage 2 in reading, writing and mathematics",Percentage,Persons,NA
E10000003,Cambridgeshire,2017/18,"Pupils reaching the expected standard at the end of key stage 2 in reading, writing and mathematics",Percentage,Persons,61
E06000049,Cheshire East,2017/18,"Pupils reaching the expected standard at the end of key stage 2 in reading, writing and mathematics",Percentage,Persons,68
E92000001,England,2017/18,"Pupils reaching the expected standard at the end of key stage 2 in reading, writing and mathematics",Percentage,Persons,65
E10000013,Gloucestershire,2017/18,"Pupils reaching the expected standard at the end of key stage 2 in reading, writing and mathematics",Percentage,Persons,63
