area_code,area_name,period,indicator,measure,unit,value
E09000006,Bromley,2016/17,Percentage achieving 9-5 in English & mathematics at Key Stage 4,Percentage,Persons,47.6
E06000060,Buckinghamshire,2016/17,Percentage achieving 9-5 in English & mathematics at Key Stage 4,Percentage,Persons,NA
E10000003,Cambridgeshire,2016/17,Percentage achieving 9-5 in English & mathematics at Key Stage 4,Percentage,Persons,46.7
E06000049,Cheshire East,2016/17,Percentage achieving 9-5 in English & mathematics at Key Stage 4,Percentage,Persons,46.9
E92000001,England,2016/17,Percentage achieving 9-5 in English & mathematics at Key Stage 4,Percentage,Persons,42.9
E10000013,Gloucestershire,2016/17,Percentage achieving 9-5 in English & mathematics at Key Stage 4,Percentage,Persons,46.2
E10000015,Hertfordshire,2016/17,Percentage achieving 9-5 in English & mathematics at Key Stage 4,Percentage,Persons,50.9
E10000025,Oxfordshire,2016/17,Percentage achieving 9-5 in English & mathematics at Key Stage 4,Percentage,Persons,48.1
E08000029,Solihull,2016/17,Percentage achieving 9-5 in English & mathematics at Key Stage 4,Percentage,Persons,45.8
E08000007,Stockport,2016/17,Percentage achieving 9-5 in English & mathematics at Key Stage 4,Percentage,Persons,44.4
E10000030,Surrey,2016/17,Percentage achieving 9-5 in English & mathematics at Key Stage 4,Percentage,Persons,51.6
E08000009,Trafford,2016/17,Percentage achieving 9-5 in English & mathematics at Key Stage 4,Percentage,Persons,62.7
E09000006,Bromley,2017/18,Percentage achieving 9-5 in English & mathematics at Key Stage 4,Percentage,Persons,49.5
E06000060,Buckinghamshire,2017/18,Percentage achieving 9-5 in English & mathematics at Key Stage 4,Percentage,Persons,NA
E10000003,Cambridgeshire,2017/18,Percentage achieving 9-5 in English & mathematics at Key Stage 4,Percentage,Persons,46.1
E06000049,Cheshire East,2017/18,Percentage achieving 9-5 in English & mathematics at Key Stage 4,Percentage,Persons,47.9
E92000001,England,2017/18,Percentage achieving 9-5 in English & mathematics at Key Stage 4,Percentage,Persons,43.5
E10000013,Gloucestershire,2017/18,Percentage achieving 9-5 in English & mathematics at Key Stage 4,Percentage,Persons,47.3
E10000015,Hertfordshire,2017/18,Percentage achieving 9-5 in English & mathematics at Key Stage 4,Percentage,Persons,53.1
E10000025,Oxfordshire,2017/18,Percentage achieving 9-5 in English & mathematics at Key Stage 4,Percentage,Persons,46.6
E08000029,Solihull,2017/18,Percentage achieving 9-5 in English & mathematics at Key Stage 4,Percentage,Persons,45.4
E08000007,Stockport,2017/18,Percentage achieving 9-5 in English & mathematics at Key Stage 4,Percentage,Persons,45.4
E10000030,Surrey,2017/18,Percentage achieving 9-5 in English & mathematics at Key Stage 4,Percentage,Persons,52
E08000009,Trafford,2017/18,Percentage achieving 9-5 in English & mathematics at Key Stage 4,Percentage,Persons,63.8
E09000006,Bromley,2018/19,Percentage achieving 9-5 in English & mathematics at Key Stage 4,Percentage,Persons,51.1
E06000060,Buckinghamshire,2018/19,Percentage achieving 9-5 in English & mathematics at Key Stage 4,Percentage,Persons,NA
E10000003,Cambridgeshire,2018/19,Percentage achieving 9-5 in English & mathematics at Key Stage 4,Percentage,Persons,47.7
E06000049,Cheshire East,2018/19,Percentage achieving 9-5 in English & mathematics at Key Stage 4,Percentage,Persons,50
E92000001,England,2018/19,Percentage achieving 9-5 in English & mathematics at Key Stage 4,Percentage,Persons,43.4
E10000013,Gloucestershire,2018/19,Percentage achieving 9-5 in English & mathematics at Key Stage 4,Percentage,Persons,47.8
E10000015,Hertfordshire,2018/19,Percentage achieving 9-5 in English & mathematics at Key Stage 4,Percentage,Persons,51.7
E10000025,Oxfordshire,2018/19,Percentage achieving 9-5 in English & mathematics at Key Stage 4,Percentage,Persons,46
E08000029,Solihull,2018/19,Percentage achieving 9-5 in English & mathematics at Key Stage 4,Percentage,Persons,46
E08000007,Stockport,2018/19,Percentage achieving 9-5 in English & mathematics at Key Stage 4,Percentage,Persons,46.3
E10000030,Surrey,2018/19,Percentage achieving 9-5 in English & mathematics at Key Stage 4,Percentage,Persons,51.7
E08000009,Trafford,2018/19,Percentage achieving 9-5 in English & mathematics at Key Stage 4,Percentage,Persons,62.1
E09000006,Bromley,2019/20,Percentage achieving 9-5 in English & mathematics at Key Stage 4,Percentage,Persons,56.9
E06000060,Buckinghamshire,2019/20,Percentage achieving 9-5 in English & mathematics at Key Stage 4,Percentage,Persons,NA
E10000003,Cambridgeshire,2019/20,Percentage achieving 9-5 in English & mathematics at Key Stage 4,Percentage,Persons,51.2
E06000049,Cheshire East,2019/20,Percentage achieving 9-5 in English & mathematics at Key Stage 4,Percentage,Persons,53.2
E92000001,England,2019/20,Percentage achieving 9-5 in English & mathematics at Key Stage 4,Percentage,Persons,49.9
E10000013,Gloucestershire,2019/20,Percentage achieving 9-5 in English & mathematics at Key Stage 4,Percentage,Persons,54.9
E10000015,Hertfordshire,2019/20,Percentage achieving 9-5 in English & mathematics at Key Stage 4,Percentage,Persons,58.5
E10000025,Oxfordshire,2019/20,Percentage achieving 9-5 in English & mathematics at Key Stage 4,Percentage,Persons,52
E08000029,Solihull,2019/20,Percentage achieving 9-5 in English & mathematics at Key Stage 4,Percentage,Persons,51.6
E08000007,Stockport,2019/20,Percentage achieving 9-5 in English & mathematics at Key Stage 4,Percentage,Persons,54
