area_code,area_name,period,indicator,measure,unit,value
E08000002,Bury,2010,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1158.2953382021724
E08000002,Bury,2011,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1061.268466294874
E08000002,Bury,2012,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1102.2733328107895
E08000002,Bury,2013,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1074.5363483932524
E08000002,Bury,2014,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),966.861472139021
E08000002,Bury,2015,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),947.1880327305137
E08000002,Bury,2016,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),909.9432140168072
E08000002,Bury,2017,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),865.4467672001992
E08000002,Bury,2018,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),852.5105141738879
E08000002,Bury,2019,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),838.4863974445011
E08000002,Bury,2020,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),749.3532502391498
E08000002,Bury,2021,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),808.1150815255866
E06000050,Cheshire West and Chester,2010,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),5330.048422915867
E06000050,Cheshire West and Chester,2011,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),4712.074746173147
E06000050,Cheshire West and Chester,2012,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),5193.739898667111
E06000050,Cheshire West and Chester,2013,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),4749.495852496916
E06000050,Cheshire West and Chester,2014,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),4257.720973873178
E06000050,Cheshire West and Chester,2015,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),3999.3591107549983
E06000050,Cheshire West and Chester,2016,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),4050.5113532875034
E06000050,Cheshire West and Chester,2017,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),4010.710290891226
E06000050,Cheshire West and Chester,2018,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),3698.972944157745
E06000050,Cheshire West and Chester,2019,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),3796.411600417613
E06000050,Cheshire West and Chester,2020,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),3523.3241030521244
E06000050,Cheshire West and Chester,2021,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),3457.771475539642
E08000007,Stockport,2010,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1642.4514477313685
E08000007,Stockport,2011,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1482.8097681354175
E08000007,Stockport,2012,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1592.4330901481947
E08000007,Stockport,2013,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1537.0176918682832
E08000007,Stockport,2014,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1344.7910424690604
E08000007,Stockport,2015,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1310.273832816618
E08000007,Stockport,2016,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1239.4742689215561
E08000007,Stockport,2017,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1210.0871379532962
E08000007,Stockport,2018,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1185.2991917553454
E08000007,Stockport,2019,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1165.4203060097482
E08000007,Stockport,2020,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1046.7724144838412
E08000007,Stockport,2021,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1086.1064877269419
E08000009,Trafford,2010,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),2090.9877126451247
E08000009,Trafford,2011,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1783.4607882966552
E08000009,Trafford,2012,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),2016.7106354002565
E08000009,Trafford,2013,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1970.6957511072194
E08000009,Trafford,2014,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1707.6573478756766
E08000009,Trafford,2015,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1659.1649185755186
E08000009,Trafford,2016,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1602.8836236858258
E08000009,Trafford,2017,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1550.820040639435
E08000009,Trafford,2018,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1496.210602161514
E08000009,Trafford,2019,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1499.2393841405183
E08000009,Trafford,2020,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1276.692721843861
E08000009,Trafford,2021,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1442.1181075382474
E06000007,Warrington,2010,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1793.9401145554411
E06000007,Warrington,2011,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1590.2735156028182
E06000007,Warrington,2012,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1663.7959027919458
E06000007,Warrington,2013,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1642.6574513944563
E06000007,Warrington,2014,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1504.3090553238878
E06000007,Warrington,2015,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1488.9504062365877
E06000007,Warrington,2016,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1462.676297328489
E06000007,Warrington,2017,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1395.296469132818
E06000007,Warrington,2018,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1368.5159670240737
E06000007,Warrington,2019,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1354.2339002514957
E06000007,Warrington,2020,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1217.9871987065526
E06000007,Warrington,2021,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1338.3744206598656
E06000014,York,2010,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1177.0915527237134
E06000014,York,2011,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1068.8786663655992
E06000014,York,2012,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1112.771280739398
E06000014,York,2013,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1094.430393163909
E06000014,York,2014,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),998.1401123410934
E06000014,York,2015,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),961.6668681584631
E06000014,York,2016,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),929.1238960539995
E06000014,York,2017,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),880.351338296456
E06000014,York,2018,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),868.9780151557135
E06000014,York,2019,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),832.2803090924068
E06000014,York,2020,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),728.7380993062659
E06000014,York,2021,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),790.7135060926023
E06000015,Derby,2010,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1571.3432580027745
E06000015,Derby,2011,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1441.5060470735916
E06000015,Derby,2012,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1433.7822229442575
E06000015,Derby,2013,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1470.0393276374966
E06000015,Derby,2014,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1254.054318444626
E06000015,Derby,2015,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1245.7405524407047
E06000015,Derby,2016,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1171.275501063799
E06000015,Derby,2017,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1140.3646946557756
E06000015,Derby,2018,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1135.5952488514063
E06000015,Derby,2019,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1065.8359402842116
E06000015,Derby,2020,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),988.0409795837536
E06000015,Derby,2021,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1075.9381437968061
E08000029,Solihull,2010,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1563.748356461505
E08000029,Solihull,2011,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1491.4003095308244
E08000029,Solihull,2012,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1569.3398378627326
E08000029,Solihull,2013,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1527.1835625579058
E08000029,Solihull,2014,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1400.779482196595
E08000029,Solihull,2015,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1427.708795993098
E08000029,Solihull,2016,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1372.7313686074306
E08000029,Solihull,2017,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1316.9008048736314
E08000029,Solihull,2018,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1309.6323864381782
E08000029,Solihull,2019,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1225.33558286389
E08000029,Solihull,2020,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1058.5563895682462
E08000029,Solihull,2021,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),1141.495513395165
E06000055,Bedford,2010,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),987.8082021243827
E06000055,Bedford,2011,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),892.2092704841128
E06000055,Bedford,2012,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),961.0570612301242
E06000055,Bedford,2013,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),945.0661857717137
E06000055,Bedford,2014,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),856.4946285814337
E06000055,Bedford,2015,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),831.6066677915314
E06000055,Bedford,2016,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),810.6328701045469
E06000055,Bedford,2017,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),787.678351423507
E06000055,Bedford,2018,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),772.8996073175592
E06000055,Bedford,2019,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),740.429827897958
E06000055,Bedford,2020,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),667.769481122023
E06000055,Bedford,2021,Local Authority territorial carbon dioxide (CO2) emissions estimates,Frequency,kilotonnes (kt CO2e),735.9823071005166
