area_code,area_name,period,indicator,measure,unit,value
E06000055,Bedford,2012,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,124.5
E08000002,Bury,2012,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,145.5
E06000050,Cheshire West and Chester,2012,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,2835.2
E06000015,Derby,2012,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,232.6
E06000006,Halton,2012,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,796.1
E06000042,Milton Keynes,2012,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,237.8
E06000061,North Northamptonshire,2012,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,562.2
E06000031,Peterborough,2012,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,137.1
E08000029,Solihull,2012,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,158.7
E06000025,South Gloucestershire,2012,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,251
E08000007,Stockport,2012,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,205.3
E06000004,Stockton-on-Tees,2012,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,2418.7
E06000030,Swindon,2012,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,214.8
E06000020,Telford and Wrekin,2012,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,272.5
E08000009,Trafford,2012,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,684.5
E06000007,Warrington,2012,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,254.5
E06000055,Bedford,2013,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,149.7
E08000002,Bury,2013,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,146.4
E06000050,Cheshire West and Chester,2013,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,2571.5
E06000015,Derby,2013,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,300.2
E06000006,Halton,2013,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,630.4
E06000042,Milton Keynes,2013,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,232.4
E06000061,North Northamptonshire,2013,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,569.7
E06000031,Peterborough,2013,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,133
E08000029,Solihull,2013,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,158.1
E06000025,South Gloucestershire,2013,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,267.4
E08000007,Stockport,2013,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,198.5
E06000004,Stockton-on-Tees,2013,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,2272.4
E06000030,Swindon,2013,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,202.7
E06000020,Telford and Wrekin,2013,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,278.9
E08000009,Trafford,2013,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,686.1
E06000007,Warrington,2013,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,269.1
E06000055,Bedford,2014,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,130.3
E08000002,Bury,2014,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,129.3
E06000050,Cheshire West and Chester,2014,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,2195.7
E06000015,Derby,2014,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,242.7
E06000006,Halton,2014,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,535.7
E06000042,Milton Keynes,2014,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,199.5
E06000061,North Northamptonshire,2014,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,500.2
E06000031,Peterborough,2014,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,116.3
E08000029,Solihull,2014,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,146.4
E06000025,South Gloucestershire,2014,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,231.5
E08000007,Stockport,2014,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,162.2
E06000004,Stockton-on-Tees,2014,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,1926.4
E06000030,Swindon,2014,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,178.3
E06000020,Telford and Wrekin,2014,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,252.5
E08000009,Trafford,2014,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,567.7
E06000007,Warrington,2014,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,232.9
E06000055,Bedford,2015,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,111
E08000002,Bury,2015,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,114
E06000050,Cheshire West and Chester,2015,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,1890.2
E06000015,Derby,2015,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,237.4
E06000006,Halton,2015,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,317.8
E06000042,Milton Keynes,2015,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,184.3
E06000061,North Northamptonshire,2015,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,467
E06000031,Peterborough,2015,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,106.1
E08000029,Solihull,2015,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,143.5
E06000025,South Gloucestershire,2015,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,222.5
E08000007,Stockport,2015,Greenhouse gas emissions estimates - Industry,Count,ktCO2e,156.5
