area_code,area_name,period,indicator,measure,unit,value
E06000055,Bedford,2019/20,"Apprenticeship starts rate per 100,000 population","Rate per 100,000 population",Persons,843
E08000002,Bury,2019/20,"Apprenticeship starts rate per 100,000 population","Rate per 100,000 population",Persons,1005
E06000050,Cheshire West and Chester,2019/20,"Apprenticeship starts rate per 100,000 population","Rate per 100,000 population",Persons,885
E06000015,Derby,2019/20,"Apprenticeship starts rate per 100,000 population","Rate per 100,000 population",Persons,994
E92000001,England,2019/20,"Apprenticeship starts rate per 100,000 population","Rate per 100,000 population",Persons,911
E06000006,Halton,2019/20,"Apprenticeship starts rate per 100,000 population","Rate per 100,000 population",Persons,1091
E06000042,Milton Keynes,2019/20,"Apprenticeship starts rate per 100,000 population","Rate per 100,000 population",Persons,815
E06000061,North Northamptonshire,2019/20,"Apprenticeship starts rate per 100,000 population","Rate per 100,000 population",Persons,NA
E06000031,Peterborough,2019/20,"Apprenticeship starts rate per 100,000 population","Rate per 100,000 population",Persons,839
E08000029,Solihull,2019/20,"Apprenticeship starts rate per 100,000 population","Rate per 100,000 population",Persons,1043
E06000025,South Gloucestershire,2019/20,"Apprenticeship starts rate per 100,000 population","Rate per 100,000 population",Persons,1094
E08000007,Stockport,2019/20,"Apprenticeship starts rate per 100,000 population","Rate per 100,000 population",Persons,952
E06000004,Stockton-on-Tees,2019/20,"Apprenticeship starts rate per 100,000 population","Rate per 100,000 population",Persons,1119
E06000030,Swindon,2019/20,"Apprenticeship starts rate per 100,000 population","Rate per 100,000 population",Persons,853
E06000020,Telford and Wrekin,2019/20,"Apprenticeship starts rate per 100,000 population","Rate per 100,000 population",Persons,1196
E08000009,Trafford,2019/20,"Apprenticeship starts rate per 100,000 population","Rate per 100,000 population",Persons,856
E06000007,Warrington,2019/20,"Apprenticeship starts rate per 100,000 population","Rate per 100,000 population",Persons,1081
E06000055,Bedford,2020/21,"Apprenticeship starts rate per 100,000 population","Rate per 100,000 population",Persons,841
