area_code,area_name,period,indicator,measure,value
E06000004,Stockton-on-Tees,Q1 2022,Business Births,Count,200
E06000004,Stockton-on-Tees,Q1 2022,Business Births,Per 1000 population,1
E06000004,Stockton-on-Tees,Q2 2022,Business Births,Count,180
E06000004,Stockton-on-Tees,Q2 2022,Business Births,Per 1000 population,0.9
E06000004,Stockton-on-Tees,Q3 2022,Business Births,Count,145
E06000004,Stockton-on-Tees,Q3 2022,Business Births,Per 1000 population,0.72
E06000004,Stockton-on-Tees,Q4 2022,Business Births,Count,145
E06000004,Stockton-on-Tees,Q4 2022,Business Births,Per 1000 population,0.72
E06000004,Stockton-on-Tees,Q1 2023,Business Births,Count,195
E06000004,Stockton-on-Tees,Q1 2023,Business Births,Per 1000 population,0.96
E06000004,Stockton-on-Tees,Q2 2023,Business Births,Count,185
E06000004,Stockton-on-Tees,Q2 2023,Business Births,Per 1000 population,0.91
E06000004,Stockton-on-Tees,Q3 2023,Business Births,Count,175
E06000004,Stockton-on-Tees,Q3 2023,Business Births,Per 1000 population,0.86
E06000004,Stockton-on-Tees,Q4 2023,Business Births,Count,155
E06000004,Stockton-on-Tees,Q4 2023,Business Births,Per 1000 population,0.76
E06000004,Stockton-on-Tees,Q1 2024,Business Births,Count,205
E06000004,Stockton-on-Tees,Q1 2024,Business Births,Per 1000 population,0.99
E06000004,Stockton-on-Tees,Q2 2024,Business Births,Count,190
E06000004,Stockton-on-Tees,Q2 2024,Business Births,Per 1000 population,0.92
E06000004,Stockton-on-Tees,Q3 2024,Business Births,Count,165
E06000004,Stockton-on-Tees,Q3 2024,Business Births,Per 1000 population,0.8
E06000004,Stockton-on-Tees,Q4 2024,Business Births,Count,145
E06000004,Stockton-on-Tees,Q4 2024,Business Births,Per 1000 population,0.7
E06000004,Stockton-on-Tees,Q1 2025,Business Births,Count,215
E06000004,Stockton-on-Tees,Q1 2025,Business Births,Per 1000 population,1.04
E06000004,Stockton-on-Tees,Q2 2025,Business Births,Count,190
E06000004,Stockton-on-Tees,Q2 2025,Business Births,Per 1000 population,0.92
E06000004,Stockton-on-Tees,Q3 2025,Business Births,Count,165
E06000004,Stockton-on-Tees,Q3 2025,Business Births,Per 1000 population,0.8
E06000004,Stockton-on-Tees,Q4 2025,Business Births,Count,165
E06000004,Stockton-on-Tees,Q4 2025,Business Births,Per 1000 population,0.8
E06000004,Stockton-on-Tees,Q1 2026,Business Births,Count,190
E06000004,Stockton-on-Tees,Q1 2026,Business Births,Per 1000 population,0.92
E06000004,Stockton-on-Tees,Q1 2022,Business Deaths,Count,285
E06000004,Stockton-on-Tees,Q1 2022,Business Deaths,Per 1000 population,1.42
E06000004,Stockton-on-Tees,Q2 2022,Business Deaths,Count,225
E06000004,Stockton-on-Tees,Q2 2022,Business Deaths,Per 1000 population,1.12
E06000004,Stockton-on-Tees,Q3 2022,Business Deaths,Count,195
E06000004,Stockton-on-Tees,Q3 2022,Business Deaths,Per 1000 population,0.97
E06000004,Stockton-on-Tees,Q4 2022,Business Deaths,Count,185
E06000004,Stockton-on-Tees,Q4 2022,Business Deaths,Per 1000 population,0.92
E06000004,Stockton-on-Tees,Q1 2023,Business Deaths,Count,220
E06000004,Stockton-on-Tees,Q1 2023,Business Deaths,Per 1000 population,1.08
E06000004,Stockton-on-Tees,Q2 2023,Business Deaths,Count,195
E06000004,Stockton-on-Tees,Q2 2023,Business Deaths,Per 1000 population,0.96
E06000004,Stockton-on-Tees,Q3 2023,Business Deaths,Count,140
E06000004,Stockton-on-Tees,Q3 2023,Business Deaths,Per 1000 population,0.69
E06000004,Stockton-on-Tees,Q4 2023,Business Deaths,Count,145
E06000004,Stockton-on-Tees,Q4 2023,Business Deaths,Per 1000 population,0.71
E06000004,Stockton-on-Tees,Q1 2024,Business Deaths,Count,170
E06000004,Stockton-on-Tees,Q1 2024,Business Deaths,Per 1000 population,0.82
E06000004,Stockton-on-Tees,Q2 2024,Business Deaths,Count,195
E06000004,Stockton-on-Tees,Q2 2024,Business Deaths,Per 1000 population,0.94
E06000004,Stockton-on-Tees,Q3 2024,Business Deaths,Count,110
E06000004,Stockton-on-Tees,Q3 2024,Business Deaths,Per 1000 population,0.53
E06000004,Stockton-on-Tees,Q4 2024,Business Deaths,Count,165
E06000004,Stockton-on-Tees,Q4 2024,Business Deaths,Per 1000 population,0.8
E06000004,Stockton-on-Tees,Q1 2025,Business Deaths,Count,185
E06000004,Stockton-on-Tees,Q1 2025,Business Deaths,Per 1000 population,0.89
E06000004,Stockton-on-Tees,Q2 2025,Business Deaths,Count,150
E06000004,Stockton-on-Tees,Q2 2025,Business Deaths,Per 1000 population,0.73
E06000004,Stockton-on-Tees,Q3 2025,Business Deaths,Count,140
E06000004,Stockton-on-Tees,Q3 2025,Business Deaths,Per 1000 population,0.68
E06000004,Stockton-on-Tees,Q4 2025,Business Deaths,Count,160
E06000004,Stockton-on-Tees,Q4 2025,Business Deaths,Per 1000 population,0.77
E06000004,Stockton-on-Tees,Q1 2026,Business Deaths,Count,190
E06000004,Stockton-on-Tees,Q1 2026,Business Deaths,Per 1000 population,0.92
E06000006,Halton,Q1 2022,Business Births,Count,145
E06000006,Halton,Q1 2022,Business Births,Per 1000 population,1.12
E06000006,Halton,Q2 2022,Business Births,Count,120
E06000006,Halton,Q2 2022,Business Births,Per 1000 population,0.93
E06000006,Halton,Q3 2022,Business Births,Count,95
E06000006,Halton,Q3 2022,Business Births,Per 1000 population,0.73
E06000006,Halton,Q4 2022,Business Births,Count,110
E06000006,Halton,Q4 2022,Business Births,Per 1000 population,0.85
E06000006,Halton,Q1 2023,Business Births,Count,135
