area_code,area_name,period,indicator,measure,units,value
E92000001,England,December 2021,Claimant count,Count,Persons,1560280
E92000001,England,December 2021,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.4
E06000030,Swindon,December 2021,Claimant count,Count,Persons,5710
E06000030,Swindon,December 2021,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.8
E06000007,Warrington,December 2021,Claimant count,Count,Persons,4420
E06000007,Warrington,December 2021,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.3
E06000042,Milton Keynes,December 2021,Claimant count,Count,Persons,7310
E06000042,Milton Keynes,December 2021,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.9
E08000029,Solihull,December 2021,Claimant count,Count,Persons,4975
E08000029,Solihull,December 2021,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.9
E06000025,South Gloucestershire,December 2021,Claimant count,Count,Persons,3960
E06000025,South Gloucestershire,December 2021,Claimants as a proportion of residents aged 16-64,Percentage,Persons,2.2
E08000007,Stockport,December 2021,Claimant count,Count,Persons,7100
E08000007,Stockport,December 2021,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.9
E06000020,Telford and Wrekin,December 2021,Claimant count,Count,Persons,4745
E06000020,Telford and Wrekin,December 2021,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.1
E06000055,Bedford,December 2021,Claimant count,Count,Persons,5210
E06000055,Bedford,December 2021,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.4
E06000050,Cheshire West and Chester,December 2021,Claimant count,Count,Persons,6660
E06000050,Cheshire West and Chester,December 2021,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3
E08000002,Bury,December 2021,Claimant count,Count,Persons,5805
E08000002,Bury,December 2021,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.9
E06000015,Derby,December 2021,Claimant count,Count,Persons,8690
E06000015,Derby,December 2021,Claimants as a proportion of residents aged 16-64,Percentage,Persons,5.2
E06000031,Peterborough,December 2021,Claimant count,Count,Persons,7445
E06000031,Peterborough,December 2021,Claimants as a proportion of residents aged 16-64,Percentage,Persons,5.4
E06000004,Stockton-on-Tees,December 2021,Claimant count,Count,Persons,5805
E06000004,Stockton-on-Tees,December 2021,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.8
E06000006,Halton,December 2021,Claimant count,Count,Persons,3660
E06000006,Halton,December 2021,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.6
E08000009,Trafford,December 2021,Claimant count,Count,Persons,5020
E08000009,Trafford,December 2021,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.5
E92000001,England,January 2022,Claimant count,Count,Persons,1526305
E92000001,England,January 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.3
E06000030,Swindon,January 2022,Claimant count,Count,Persons,5540
E06000030,Swindon,January 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.7
E06000007,Warrington,January 2022,Claimant count,Count,Persons,4335
E06000007,Warrington,January 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.3
E06000042,Milton Keynes,January 2022,Claimant count,Count,Persons,7150
E06000042,Milton Keynes,January 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.8
E08000029,Solihull,January 2022,Claimant count,Count,Persons,4900
E08000029,Solihull,January 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.8
E06000025,South Gloucestershire,January 2022,Claimant count,Count,Persons,3835
E06000025,South Gloucestershire,January 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,2.1
E08000007,Stockport,January 2022,Claimant count,Count,Persons,6955
E08000007,Stockport,January 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.9
E06000020,Telford and Wrekin,January 2022,Claimant count,Count,Persons,4675
E06000020,Telford and Wrekin,January 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4
E06000055,Bedford,January 2022,Claimant count,Count,Persons,5040
E06000055,Bedford,January 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.3
E06000050,Cheshire West and Chester,January 2022,Claimant count,Count,Persons,6540
E06000050,Cheshire West and Chester,January 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3
E08000002,Bury,January 2022,Claimant count,Count,Persons,5690
E08000002,Bury,January 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.8
E06000015,Derby,January 2022,Claimant count,Count,Persons,8435
E06000015,Derby,January 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,5.1
E06000031,Peterborough,January 2022,Claimant count,Count,Persons,7245
E06000031,Peterborough,January 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,5.3
E06000004,Stockton-on-Tees,January 2022,Claimant count,Count,Persons,5700
E06000004,Stockton-on-Tees,January 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.7
E06000006,Halton,January 2022,Claimant count,Count,Persons,3680
E06000006,Halton,January 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.6
E08000009,Trafford,January 2022,Claimant count,Count,Persons,4865
E08000009,Trafford,January 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.4
E92000001,England,February 2022,Claimant count,Count,Persons,1526960
E92000001,England,February 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.3
E06000030,Swindon,February 2022,Claimant count,Count,Persons,5570
E06000030,Swindon,February 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.7
E06000007,Warrington,February 2022,Claimant count,Count,Persons,4395
E06000007,Warrington,February 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.3
E06000042,Milton Keynes,February 2022,Claimant count,Count,Persons,7145
E06000042,Milton Keynes,February 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.8
E08000029,Solihull,February 2022,Claimant count,Count,Persons,4965
E08000029,Solihull,February 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.8
E06000025,South Gloucestershire,February 2022,Claimant count,Count,Persons,3795
E06000025,South Gloucestershire,February 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,2.1
E08000007,Stockport,February 2022,Claimant count,Count,Persons,6930
E08000007,Stockport,February 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.9
E06000020,Telford and Wrekin,February 2022,Claimant count,Count,Persons,4735
E06000020,Telford and Wrekin,February 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.1
E06000055,Bedford,February 2022,Claimant count,Count,Persons,5045
E06000055,Bedford,February 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.3
E06000050,Cheshire West and Chester,February 2022,Claimant count,Count,Persons,6500
E06000050,Cheshire West and Chester,February 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3
E08000002,Bury,February 2022,Claimant count,Count,Persons,5665
E08000002,Bury,February 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.7
E06000015,Derby,February 2022,Claimant count,Count,Persons,8490
E06000015,Derby,February 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,5.1
E06000031,Peterborough,February 2022,Claimant count,Count,Persons,7275
E06000031,Peterborough,February 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,5.3
E06000004,Stockton-on-Tees,February 2022,Claimant count,Count,Persons,5725
E06000004,Stockton-on-Tees,February 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.7
E06000006,Halton,February 2022,Claimant count,Count,Persons,3750
E06000006,Halton,February 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.7
