area_code,area_name,period,indicator,measure,units,value
E06000004,Stockton-on-Tees,2013,GDP per head at current market prices,Rate per head,pounds (£),25427
E06000004,Stockton-on-Tees,2014,GDP per head at current market prices,Rate per head,pounds (£),26158
E06000004,Stockton-on-Tees,2015,GDP per head at current market prices,Rate per head,pounds (£),27628
E06000004,Stockton-on-Tees,2016,GDP per head at current market prices,Rate per head,pounds (£),28028
E06000004,Stockton-on-Tees,2017,GDP per head at current market prices,Rate per head,pounds (£),27682
E06000004,Stockton-on-Tees,2018,GDP per head at current market prices,Rate per head,pounds (£),28169
E06000004,Stockton-on-Tees,2019,GDP per head at current market prices,Rate per head,pounds (£),29771
E06000004,Stockton-on-Tees,2020,GDP per head at current market prices,Rate per head,pounds (£),29025
E06000004,Stockton-on-Tees,2021,GDP per head at current market prices,Rate per head,pounds (£),30906
E06000004,Stockton-on-Tees,2022,GDP per head at current market prices,Rate per head,pounds (£),33034
E06000004,Stockton-on-Tees,2023,GDP per head at current market prices,Rate per head,pounds (£),33314
E08000009,Trafford,2013,GDP per head at current market prices,Rate per head,pounds (£),34183
E08000009,Trafford,2014,GDP per head at current market prices,Rate per head,pounds (£),34604
E08000009,Trafford,2015,GDP per head at current market prices,Rate per head,pounds (£),36790
E08000009,Trafford,2016,GDP per head at current market prices,Rate per head,pounds (£),38111
E08000009,Trafford,2017,GDP per head at current market prices,Rate per head,pounds (£),40389
E08000009,Trafford,2018,GDP per head at current market prices,Rate per head,pounds (£),42346
E08000009,Trafford,2019,GDP per head at current market prices,Rate per head,pounds (£),43104
E08000009,Trafford,2020,GDP per head at current market prices,Rate per head,pounds (£),42767
E08000009,Trafford,2021,GDP per head at current market prices,Rate per head,pounds (£),46812
E08000009,Trafford,2022,GDP per head at current market prices,Rate per head,pounds (£),50931
E08000009,Trafford,2023,GDP per head at current market prices,Rate per head,pounds (£),55182
E08000007,Stockport,2013,GDP per head at current market prices,Rate per head,pounds (£),22963
E08000007,Stockport,2014,GDP per head at current market prices,Rate per head,pounds (£),22945
E08000007,Stockport,2015,GDP per head at current market prices,Rate per head,pounds (£),22986
E08000007,Stockport,2016,GDP per head at current market prices,Rate per head,pounds (£),23857
E08000007,Stockport,2017,GDP per head at current market prices,Rate per head,pounds (£),25518
E08000007,Stockport,2018,GDP per head at current market prices,Rate per head,pounds (£),26374
E08000007,Stockport,2019,GDP per head at current market prices,Rate per head,pounds (£),26604
E08000007,Stockport,2020,GDP per head at current market prices,Rate per head,pounds (£),26801
E08000007,Stockport,2021,GDP per head at current market prices,Rate per head,pounds (£),28088
E08000007,Stockport,2022,GDP per head at current market prices,Rate per head,pounds (£),31706
E08000007,Stockport,2023,GDP per head at current market prices,Rate per head,pounds (£),34446
E08000002,Bury,2013,GDP per head at current market prices,Rate per head,pounds (£),18253
