area_code,area_name,period,indicator,measure,unit,value
E06000055,Bedford,2016,Ratio of median house price to median gross annual workplace-based earnings,Ratio,House price / earnings,8.55
E06000055,Bedford,2016,Ratio of median house price to median gross annual residence-based earnings,Ratio,House price / earnings,8.05
E08000002,Bury,2016,Ratio of median house price to median gross annual workplace-based earnings,Ratio,House price / earnings,5.90
E08000002,Bury,2016,Ratio of median house price to median gross annual residence-based earnings,Ratio,House price / earnings,5.34
E06000050,Cheshire West and Chester,2016,Ratio of median house price to median gross annual workplace-based earnings,Ratio,House price / earnings,7.11
E06000050,Cheshire West and Chester,2016,Ratio of median house price to median gross annual residence-based earnings,Ratio,House price / earnings,6.42
E06000015,Derby,2016,Ratio of median house price to median gross annual workplace-based earnings,Ratio,House price / earnings,4.44
E06000015,Derby,2016,Ratio of median house price to median gross annual residence-based earnings,Ratio,House price / earnings,5.04
E92000001,England,2016,Ratio of median house price to median gross annual workplace-based earnings,Ratio,House price / earnings,7.72
E92000001,England,2016,Ratio of median house price to median gross annual residence-based earnings,Ratio,House price / earnings,7.72
E06000006,Halton,2016,Ratio of median house price to median gross annual workplace-based earnings,Ratio,House price / earnings,4.92
E06000006,Halton,2016,Ratio of median house price to median gross annual residence-based earnings,Ratio,House price / earnings,5.34
E06000042,Milton Keynes,2016,Ratio of median house price to median gross annual workplace-based earnings,Ratio,House price / earnings,7.63
E06000042,Milton Keynes,2016,Ratio of median house price to median gross annual residence-based earnings,Ratio,House price / earnings,8.50
E06000061,North Northamptonshire,2016,Ratio of median house price to median gross annual workplace-based earnings,Ratio,House price / earnings,6.99
E06000061,North Northamptonshire,2016,Ratio of median house price to median gross annual residence-based earnings,Ratio,House price / earnings,6.46
E06000031,Peterborough,2016,Ratio of median house price to median gross annual workplace-based earnings,Ratio,House price / earnings,5.93
E06000031,Peterborough,2016,Ratio of median house price to median gross annual residence-based earnings,Ratio,House price / earnings,6.46
E08000029,Solihull,2016,Ratio of median house price to median gross annual workplace-based earnings,Ratio,House price / earnings,7.54
E08000029,Solihull,2016,Ratio of median house price to median gross annual residence-based earnings,Ratio,House price / earnings,7.64
E06000025,South Gloucestershire,2016,Ratio of median house price to median gross annual workplace-based earnings,Ratio,House price / earnings,8.29
E06000025,South Gloucestershire,2016,Ratio of median house price to median gross annual residence-based earnings,Ratio,House price / earnings,8.07
