area_code,area_name,period,indicator,measure,unit,value
E92000001,England,2023/24 Q4,Percentage of all non-major development planning applications decided in time,Percentage,Applications,89.9
E92000001,England,2024/25 Q1,Percentage of all non-major development planning applications decided in time,Percentage,Applications,90.5
E92000001,England,2024/25 Q2,Percentage of all non-major development planning applications decided in time,Percentage,Applications,90.2
E92000001,England,2024/25 Q3,Percentage of all non-major development planning applications decided in time,Percentage,Applications,90.8
E92000001,England,2024/25 Q4,Percentage of all non-major development planning applications decided in time,Percentage,Applications,90.8
E92000001,England,2025/26 Q1,Percentage of all non-major development planning applications decided in time,Percentage,Applications,91.4
E92000001,England,2025/26 Q2,Percentage of all non-major development planning applications decided in time,Percentage,Applications,90.9
E92000001,England,2025/26 Q3,Percentage of all non-major development planning applications decided in time,Percentage,Applications,91
E06000020,Telford and Wrekin,2023/24 Q4,Percentage of all non-major development planning applications decided in time,Percentage,Applications,96.5
E06000020,Telford and Wrekin,2024/25 Q1,Percentage of all non-major development planning applications decided in time,Percentage,Applications,98.7
E06000020,Telford and Wrekin,2024/25 Q2,Percentage of all non-major development planning applications decided in time,Percentage,Applications,100
E06000020,Telford and Wrekin,2024/25 Q3,Percentage of all non-major development planning applications decided in time,Percentage,Applications,99.3
E06000020,Telford and Wrekin,2024/25 Q4,Percentage of all non-major development planning applications decided in time,Percentage,Applications,100
E06000020,Telford and Wrekin,2025/26 Q1,Percentage of all non-major development planning applications decided in time,Percentage,Applications,100
E06000020,Telford and Wrekin,2025/26 Q2,Percentage of all non-major development planning applications decided in time,Percentage,Applications,100
E06000020,Telford and Wrekin,2025/26 Q3,Percentage of all non-major development planning applications decided in time,Percentage,Applications,99.1
E08000002,Bury,2023/24 Q4,Percentage of all non-major development planning applications decided in time,Percentage,Applications,100
E08000002,Bury,2024/25 Q1,Percentage of all non-major development planning applications decided in time,Percentage,Applications,100
E08000002,Bury,2024/25 Q2,Percentage of all non-major development planning applications decided in time,Percentage,Applications,100
E08000002,Bury,2024/25 Q3,Percentage of all non-major development planning applications decided in time,Percentage,Applications,100
E08000002,Bury,2024/25 Q4,Percentage of all non-major development planning applications decided in time,Percentage,Applications,100
E08000002,Bury,2025/26 Q1,Percentage of all non-major development planning applications decided in time,Percentage,Applications,99.4
E08000002,Bury,2025/26 Q2,Percentage of all non-major development planning applications decided in time,Percentage,Applications,98.9
E08000002,Bury,2025/26 Q3,Percentage of all non-major development planning applications decided in time,Percentage,Applications,100
E08000007,Stockport,2023/24 Q4,Percentage of all non-major development planning applications decided in time,Percentage,Applications,99.1
E08000007,Stockport,2024/25 Q1,Percentage of all non-major development planning applications decided in time,Percentage,Applications,98.6
E08000007,Stockport,2024/25 Q2,Percentage of all non-major development planning applications decided in time,Percentage,Applications,99.1
E08000007,Stockport,2024/25 Q3,Percentage of all non-major development planning applications decided in time,Percentage,Applications,99.3
E08000007,Stockport,2024/25 Q4,Percentage of all non-major development planning applications decided in time,Percentage,Applications,98.2
E08000007,Stockport,2025/26 Q1,Percentage of all non-major development planning applications decided in time,Percentage,Applications,100
E08000007,Stockport,2025/26 Q2,Percentage of all non-major development planning applications decided in time,Percentage,Applications,96.8
E08000007,Stockport,2025/26 Q3,Percentage of all non-major development planning applications decided in time,Percentage,Applications,98.7
E06000006,Halton,2023/24 Q4,Percentage of all non-major development planning applications decided in time,Percentage,Applications,90.7
E06000006,Halton,2024/25 Q1,Percentage of all non-major development planning applications decided in time,Percentage,Applications,86.4
E06000006,Halton,2024/25 Q2,Percentage of all non-major development planning applications decided in time,Percentage,Applications,90
E06000006,Halton,2024/25 Q3,Percentage of all non-major development planning applications decided in time,Percentage,Applications,94.7
E06000006,Halton,2024/25 Q4,Percentage of all non-major development planning applications decided in time,Percentage,Applications,97.9
E06000006,Halton,2025/26 Q1,Percentage of all non-major development planning applications decided in time,Percentage,Applications,97.3
E06000006,Halton,2025/26 Q2,Percentage of all non-major development planning applications decided in time,Percentage,Applications,100
E06000006,Halton,2025/26 Q3,Percentage of all non-major development planning applications decided in time,Percentage,Applications,97.3
E06000007,Warrington,2023/24 Q4,Percentage of all non-major development planning applications decided in time,Percentage,Applications,85.5
E06000007,Warrington,2024/25 Q1,Percentage of all non-major development planning applications decided in time,Percentage,Applications,91.6
E06000007,Warrington,2024/25 Q2,Percentage of all non-major development planning applications decided in time,Percentage,Applications,96
E06000007,Warrington,2024/25 Q3,Percentage of all non-major development planning applications decided in time,Percentage,Applications,95.3
E06000007,Warrington,2024/25 Q4,Percentage of all non-major development planning applications decided in time,Percentage,Applications,90.9
E06000007,Warrington,2025/26 Q1,Percentage of all non-major development planning applications decided in time,Percentage,Applications,96.4
E06000007,Warrington,2025/26 Q2,Percentage of all non-major development planning applications decided in time,Percentage,Applications,95.4
E06000007,Warrington,2025/26 Q3,Percentage of all non-major development planning applications decided in time,Percentage,Applications,97.6
E08000009,Trafford,2023/24 Q4,Percentage of all non-major development planning applications decided in time,Percentage,Applications,86.1
E08000009,Trafford,2024/25 Q1,Percentage of all non-major development planning applications decided in time,Percentage,Applications,90.8
E08000009,Trafford,2024/25 Q2,Percentage of all non-major development planning applications decided in time,Percentage,Applications,90.3
E08000009,Trafford,2024/25 Q3,Percentage of all non-major development planning applications decided in time,Percentage,Applications,91
E08000009,Trafford,2024/25 Q4,Percentage of all non-major development planning applications decided in time,Percentage,Applications,93.3
E08000009,Trafford,2025/26 Q1,Percentage of all non-major development planning applications decided in time,Percentage,Applications,97
E08000009,Trafford,2025/26 Q2,Percentage of all non-major development planning applications decided in time,Percentage,Applications,92.6
E08000009,Trafford,2025/26 Q3,Percentage of all non-major development planning applications decided in time,Percentage,Applications,92
E06000042,Milton Keynes,2023/24 Q4,Percentage of all non-major development planning applications decided in time,Percentage,Applications,95.3
