area_code,area_name,period,indicator,measure,unit,value
E06000055,Bedford,2016,Employees paid at or above the real living wage by work geography,Percentage,Persons,77.8
E08000002,Bury,2016,Employees paid at or above the real living wage by work geography,Percentage,Persons,70.7
E06000050,Cheshire West and Chester,2016,Employees paid at or above the real living wage by work geography,Percentage,Persons,75.8
E06000015,Derby,2016,Employees paid at or above the real living wage by work geography,Percentage,Persons,76.4
E92000001,England,2016,Employees paid at or above the real living wage by work geography,Percentage,Persons,76.8
E06000035,Medway,2016,Employees paid at or above the real living wage by work geography,Percentage,Persons,76.9
E06000042,Milton Keynes,2016,Employees paid at or above the real living wage by work geography,Percentage,Persons,87
E06000031,Peterborough,2016,Employees paid at or above the real living wage by work geography,Percentage,Persons,73.8
E06000038,Reading,2016,Employees paid at or above the real living wage by work geography,Percentage,Persons,82.5
E08000029,Solihull,2016,Employees paid at or above the real living wage by work geography,Percentage,Persons,78.6
E06000025,South Gloucestershire,2016,Employees paid at or above the real living wage by work geography,Percentage,Persons,74.9
E08000007,Stockport,2016,Employees paid at or above the real living wage by work geography,Percentage,Persons,74.5
E06000030,Swindon,2016,Employees paid at or above the real living wage by work geography,Percentage,Persons,83.1
E06000034,Thurrock,2016,Employees paid at or above the real living wage by work geography,Percentage,Persons,76.7
E08000009,Trafford,2016,Employees paid at or above the real living wage by work geography,Percentage,Persons,72.7
E06000007,Warrington,2016,Employees paid at or above the real living wage by work geography,Percentage,Persons,75.5
E06000014,York,2016,Employees paid at or above the real living wage by work geography,Percentage,Persons,76.2
E06000055,Bedford,2017,Employees paid at or above the real living wage by work geography,Percentage,Persons,79.2
E08000002,Bury,2017,Employees paid at or above the real living wage by work geography,Percentage,Persons,72.9
E06000050,Cheshire West and Chester,2017,Employees paid at or above the real living wage by work geography,Percentage,Persons,76.5
E06000015,Derby,2017,Employees paid at or above the real living wage by work geography,Percentage,Persons,79.5
E92000001,England,2017,Employees paid at or above the real living wage by work geography,Percentage,Persons,77.8
E06000035,Medway,2017,Employees paid at or above the real living wage by work geography,Percentage,Persons,76.9
E06000042,Milton Keynes,2017,Employees paid at or above the real living wage by work geography,Percentage,Persons,86.6
E06000031,Peterborough,2017,Employees paid at or above the real living wage by work geography,Percentage,Persons,72.4
E06000038,Reading,2017,Employees paid at or above the real living wage by work geography,Percentage,Persons,82.6
E08000029,Solihull,2017,Employees paid at or above the real living wage by work geography,Percentage,Persons,78.1
E06000025,South Gloucestershire,2017,Employees paid at or above the real living wage by work geography,Percentage,Persons,81.6
E08000007,Stockport,2017,Employees paid at or above the real living wage by work geography,Percentage,Persons,74.4
E06000030,Swindon,2017,Employees paid at or above the real living wage by work geography,Percentage,Persons,81.9
E06000034,Thurrock,2017,Employees paid at or above the real living wage by work geography,Percentage,Persons,76
E08000009,Trafford,2017,Employees paid at or above the real living wage by work geography,Percentage,Persons,74.7
E06000007,Warrington,2017,Employees paid at or above the real living wage by work geography,Percentage,Persons,79.4
E06000014,York,2017,Employees paid at or above the real living wage by work geography,Percentage,Persons,78.3
E06000055,Bedford,2018,Employees paid at or above the real living wage by work geography,Percentage,Persons,80.7
E08000002,Bury,2018,Employees paid at or above the real living wage by work geography,Percentage,Persons,72.3
E06000050,Cheshire West and Chester,2018,Employees paid at or above the real living wage by work geography,Percentage,Persons,78
E06000015,Derby,2018,Employees paid at or above the real living wage by work geography,Percentage,Persons,81.5
E92000001,England,2018,Employees paid at or above the real living wage by work geography,Percentage,Persons,77.1
E06000035,Medway,2018,Employees paid at or above the real living wage by work geography,Percentage,Persons,75.3
E06000042,Milton Keynes,2018,Employees paid at or above the real living wage by work geography,Percentage,Persons,86.5
E06000031,Peterborough,2018,Employees paid at or above the real living wage by work geography,Percentage,Persons,71.5
E06000038,Reading,2018,Employees paid at or above the real living wage by work geography,Percentage,Persons,85.1
E08000029,Solihull,2018,Employees paid at or above the real living wage by work geography,Percentage,Persons,78.9
E06000025,South Gloucestershire,2018,Employees paid at or above the real living wage by work geography,Percentage,Persons,80.8
E08000007,Stockport,2018,Employees paid at or above the real living wage by work geography,Percentage,Persons,73.7
E06000030,Swindon,2018,Employees paid at or above the real living wage by work geography,Percentage,Persons,81.6
E06000034,Thurrock,2018,Employees paid at or above the real living wage by work geography,Percentage,Persons,76.3
E08000009,Trafford,2018,Employees paid at or above the real living wage by work geography,Percentage,Persons,76.3
E06000007,Warrington,2018,Employees paid at or above the real living wage by work geography,Percentage,Persons,80
E06000014,York,2018,Employees paid at or above the real living wage by work geography,Percentage,Persons,73.3
E06000055,Bedford,2019,Employees paid at or above the real living wage by work geography,Percentage,Persons,81.6
E08000002,Bury,2019,Employees paid at or above the real living wage by work geography,Percentage,Persons,74.2
E06000050,Cheshire West and Chester,2019,Employees paid at or above the real living wage by work geography,Percentage,Persons,80.2
E06000015,Derby,2019,Employees paid at or above the real living wage by work geography,Percentage,Persons,86.1
E92000001,England,2019,Employees paid at or above the real living wage by work geography,Percentage,Persons,80.1
E06000035,Medway,2019,Employees paid at or above the real living wage by work geography,Percentage,Persons,79
E06000042,Milton Keynes,2019,Employees paid at or above the real living wage by work geography,Percentage,Persons,86
E06000031,Peterborough,2019,Employees paid at or above the real living wage by work geography,Percentage,Persons,79.9
E06000038,Reading,2019,Employees paid at or above the real living wage by work geography,Percentage,Persons,87.2
E08000029,Solihull,2019,Employees paid at or above the real living wage by work geography,Percentage,Persons,82.4
E06000025,South Gloucestershire,2019,Employees paid at or above the real living wage by work geography,Percentage,Persons,78.5
E08000007,Stockport,2019,Employees paid at or above the real living wage by work geography,Percentage,Persons,79.2
E06000030,Swindon,2019,Employees paid at or above the real living wage by work geography,Percentage,Persons,84
E06000034,Thurrock,2019,Employees paid at or above the real living wage by work geography,Percentage,Persons,78.4
E08000009,Trafford,2019,Employees paid at or above the real living wage by work geography,Percentage,Persons,77.4
E06000007,Warrington,2019,Employees paid at or above the real living wage by work geography,Percentage,Persons,78.1
E06000014,York,2019,Employees paid at or above the real living wage by work geography,Percentage,Persons,82.3
E06000055,Bedford,2020,Employees paid at or above the real living wage by work geography,Percentage,Persons,86.8
E08000002,Bury,2020,Employees paid at or above the real living wage by work geography,Percentage,Persons,77.4
E06000050,Cheshire West and Chester,2020,Employees paid at or above the real living wage by work geography,Percentage,Persons,84.8
E06000015,Derby,2020,Employees paid at or above the real living wage by work geography,Percentage,Persons,85.5
E92000001,England,2020,Employees paid at or above the real living wage by work geography,Percentage,Persons,79.7
E06000035,Medway,2020,Employees paid at or above the real living wage by work geography,Percentage,Persons,78.8
E06000042,Milton Keynes,2020,Employees paid at or above the real living wage by work geography,Percentage,Persons,87.7
E06000031,Peterborough,2020,Employees paid at or above the real living wage by work geography,Percentage,Persons,81.5
E06000038,Reading,2020,Employees paid at or above the real living wage by work geography,Percentage,Persons,87.5
E08000029,Solihull,2020,Employees paid at or above the real living wage by work geography,Percentage,Persons,80.8
E06000025,South Gloucestershire,2020,Employees paid at or above the real living wage by work geography,Percentage,Persons,80.8
E08000007,Stockport,2020,Employees paid at or above the real living wage by work geography,Percentage,Persons,79.9
E06000030,Swindon,2020,Employees paid at or above the real living wage by work geography,Percentage,Persons,85.7
E06000034,Thurrock,2020,Employees paid at or above the real living wage by work geography,Percentage,Persons,76.6
E08000009,Trafford,2020,Employees paid at or above the real living wage by work geography,Percentage,Persons,77.1
E06000007,Warrington,2020,Employees paid at or above the real living wage by work geography,Percentage,Persons,81
E06000014,York,2020,Employees paid at or above the real living wage by work geography,Percentage,Persons,80
E06000055,Bedford,2021,Employees paid at or above the real living wage by work geography,Percentage,Persons,86.7
E08000002,Bury,2021,Employees paid at or above the real living wage by work geography,Percentage,Persons,76.3
E06000050,Cheshire West and Chester,2021,Employees paid at or above the real living wage by work geography,Percentage,Persons,85.3
E06000015,Derby,2021,Employees paid at or above the real living wage by work geography,Percentage,Persons,85.8
E92000001,England,2021,Employees paid at or above the real living wage by work geography,Percentage,Persons,82.9
E06000035,Medway,2021,Employees paid at or above the real living wage by work geography,Percentage,Persons,82.8
E06000042,Milton Keynes,2021,Employees paid at or above the real living wage by work geography,Percentage,Persons,90.3
E06000031,Peterborough,2021,Employees paid at or above the real living wage by work geography,Percentage,Persons,82.5
E06000038,Reading,2021,Employees paid at or above the real living wage by work geography,Percentage,Persons,90.7
E08000029,Solihull,2021,Employees paid at or above the real living wage by work geography,Percentage,Persons,83.7
E06000025,South Gloucestershire,2021,Employees paid at or above the real living wage by work geography,Percentage,Persons,84.9
E08000007,Stockport,2021,Employees paid at or above the real living wage by work geography,Percentage,Persons,81.5
E06000030,Swindon,2021,Employees paid at or above the real living wage by work geography,Percentage,Persons,87.3
E06000034,Thurrock,2021,Employees paid at or above the real living wage by work geography,Percentage,Persons,84.3
E08000009,Trafford,2021,Employees paid at or above the real living wage by work geography,Percentage,Persons,80.8
E06000007,Warrington,2021,Employees paid at or above the real living wage by work geography,Percentage,Persons,81.7
