area_code,area_name,period,indicator,measure,unit,value
E09000003,Barnet,2014/15,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,622.5
E09000004,Bexley,2014/15,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,494.7
E06000036,Bracknell Forest,2014/15,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,475
E09000006,Bromley,2014/15,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,79.9
E08000002,Bury,2014/15,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,742.8
E09000008,Croydon,2014/15,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,426.1
E92000001,England,2014/15,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,658.5
E09000016,Havering,2014/15,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,596.7
E09000017,Hillingdon,2014/15,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,356
E09000021,Kingston upon Thames,2014/15,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,462.1
E09000024,Merton,2014/15,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,336.9
E09000027,Richmond upon Thames,2014/15,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,466.5
E08000029,Solihull,2014/15,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,543.1
E08000007,Stockport,2014/15,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,731.7
E09000029,Sutton,2014/15,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,341.2
E08000009,Trafford,2014/15,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,543
E06000040,Windsor and Maidenhead,2014/15,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,774.2
E09000003,Barnet,2015/16,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,514.9
E09000004,Bexley,2015/16,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,581.2
E06000036,Bracknell Forest,2015/16,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,718.8
E09000006,Bromley,2015/16,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,188.4
E08000002,Bury,2015/16,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,888.9
E09000008,Croydon,2015/16,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,431.7
E92000001,England,2015/16,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,628.2
E09000016,Havering,2015/16,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,590.9
E09000017,Hillingdon,2015/16,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,341.6
E09000021,Kingston upon Thames,2015/16,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,513.4
E09000024,Merton,2015/16,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,417.1
E09000027,Richmond upon Thames,2015/16,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,381.3
E08000029,Solihull,2015/16,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,540
E08000007,Stockport,2015/16,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,579
E09000029,Sutton,2015/16,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,275.2
E08000009,Trafford,2015/16,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,735.2
E06000040,Windsor and Maidenhead,2015/16,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,315.9
E09000003,Barnet,2016/17,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,250.9
E09000004,Bexley,2016/17,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,520.2
E06000036,Bracknell Forest,2016/17,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,731.9
E09000006,Bromley,2016/17,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,404.6
E08000002,Bury,2016/17,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,NA
E09000008,Croydon,2016/17,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,125.5
E92000001,England,2016/17,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,610.7
E09000016,Havering,2016/17,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,694.2
E09000017,Hillingdon,2016/17,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,759.2
E09000021,Kingston upon Thames,2016/17,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,527.8
E09000024,Merton,2016/17,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,410.1
E09000027,Richmond upon Thames,2016/17,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,328.1
E08000029,Solihull,2016/17,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,537.5
E08000007,Stockport,2016/17,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,392
E09000029,Sutton,2016/17,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,183
E08000009,Trafford,2016/17,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,883.2
E06000040,Windsor and Maidenhead,2016/17,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,282.1
E09000003,Barnet,2017/18,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,261.6
E09000004,Bexley,2017/18,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,465.3
E06000036,Bracknell Forest,2017/18,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,661.5
E09000006,Bromley,2017/18,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,288.1
E08000002,Bury,2017/18,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,972
E09000008,Croydon,2017/18,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,280.2
E92000001,England,2017/18,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,585.6
E09000016,Havering,2017/18,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,521.3
E09000017,Hillingdon,2017/18,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,648.6
E09000021,Kingston upon Thames,2017/18,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,395.9
E09000024,Merton,2017/18,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,358.8
E09000027,Richmond upon Thames,2017/18,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,328.1
E08000029,Solihull,2017/18,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,589.1
E08000007,Stockport,2017/18,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,NA
E09000029,Sutton,2017/18,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,204.2
E08000009,Trafford,2017/18,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,677
E06000040,Windsor and Maidenhead,2017/18,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,343.5
E09000003,Barnet,2018/19,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,334.4
E09000004,Bexley,2018/19,Permanent admissions to residential and nursing care homes aged 65+,"Rate per 100,000 aged 65+",Persons,463.6
