area_code,area_name,period,indicator,measure,unit,value
E06000055,Bedford,2015-16,"Proportion of adults who do any walking or cycling, for any purpose, five times per week",Percentage,Persons,26.8
E08000002,Bury,2015-16,"Proportion of adults who do any walking or cycling, for any purpose, five times per week",Percentage,Persons,28.1
E06000050,Cheshire West and Chester,2015-16,"Proportion of adults who do any walking or cycling, for any purpose, five times per week",Percentage,Persons,33.5
E06000015,Derby,2015-16,"Proportion of adults who do any walking or cycling, for any purpose, five times per week",Percentage,Persons,30.8
E92000001,England,2015-16,"Proportion of adults who do any walking or cycling, for any purpose, five times per week",Percentage,Persons,34.2
E06000035,Medway,2015-16,"Proportion of adults who do any walking or cycling, for any purpose, five times per week",Percentage,Persons,30.6
E06000042,Milton Keynes,2015-16,"Proportion of adults who do any walking or cycling, for any purpose, five times per week",Percentage,Persons,40.6
E06000031,Peterborough,2015-16,"Proportion of adults who do any walking or cycling, for any purpose, five times per week",Percentage,Persons,30.8
E06000038,Reading,2015-16,"Proportion of adults who do any walking or cycling, for any purpose, five times per week",Percentage,Persons,38.6
E08000029,Solihull,2015-16,"Proportion of adults who do any walking or cycling, for any purpose, five times per week",Percentage,Persons,27.6
E06000025,South Gloucestershire,2015-16,"Proportion of adults who do any walking or cycling, for any purpose, five times per week",Percentage,Persons,32.4
E08000007,Stockport,2015-16,"Proportion of adults who do any walking or cycling, for any purpose, five times per week",Percentage,Persons,32.9
E06000030,Swindon,2015-16,"Proportion of adults who do any walking or cycling, for any purpose, five times per week",Percentage,Persons,32.8
E06000034,Thurrock,2015-16,"Proportion of adults who do any walking or cycling, for any purpose, five times per week",Percentage,Persons,28.6
E08000009,Trafford,2015-16,"Proportion of adults who do any walking or cycling, for any purpose, five times per week",Percentage,Persons,32.9
E06000007,Warrington,2015-16,"Proportion of adults who do any walking or cycling, for any purpose, five times per week",Percentage,Persons,29.2
E06000014,York,2015-16,"Proportion of adults who do any walking or cycling, for any purpose, five times per week",Percentage,Persons,48.3
E06000055,Bedford,2016-17,"Proportion of adults who do any walking or cycling, for any purpose, five times per week",Percentage,Persons,35.1
E08000002,Bury,2016-17,"Proportion of adults who do any walking or cycling, for any purpose, five times per week",Percentage,Persons,31
E06000050,Cheshire West and Chester,2016-17,"Proportion of adults who do any walking or cycling, for any purpose, five times per week",Percentage,Persons,35.6
E06000015,Derby,2016-17,"Proportion of adults who do any walking or cycling, for any purpose, five times per week",Percentage,Persons,27.5
E92000001,England,2016-17,"Proportion of adults who do any walking or cycling, for any purpose, five times per week",Percentage,Persons,35.2
E06000035,Medway,2016-17,"Proportion of adults who do any walking or cycling, for any purpose, five times per week",Percentage,Persons,29.6
E06000042,Milton Keynes,2016-17,"Proportion of adults who do any walking or cycling, for any purpose, five times per week",Percentage,Persons,35
E06000031,Peterborough,2016-17,"Proportion of adults who do any walking or cycling, for any purpose, five times per week",Percentage,Persons,34.9
E06000038,Reading,2016-17,"Proportion of adults who do any walking or cycling, for any purpose, five times per week",Percentage,Persons,35
