area_code,area_name,period,indicator,measure,unit,value
E08000009,Trafford,2019-08-01,Broad spectrum antibiotics as a % of total prescribed,Percentage,prescriptions,14.1
E08000009,Trafford,2019-09-01,Broad spectrum antibiotics as a % of total prescribed,Percentage,prescriptions,13.1
E08000009,Trafford,2019-10-01,Broad spectrum antibiotics as a % of total prescribed,Percentage,prescriptions,10.3
E08000009,Trafford,2019-11-01,Broad spectrum antibiotics as a % of total prescribed,Percentage,prescriptions,9.3
E08000009,Trafford,2019-12-01,Broad spectrum antibiotics as a % of total prescribed,Percentage,prescriptions,9.2
E08000009,Trafford,2020-01-01,Broad spectrum antibiotics as a % of total prescribed,Percentage,prescriptions,9.4
E08000009,Trafford,2020-02-01,Broad spectrum antibiotics as a % of total prescribed,Percentage,prescriptions,9.7
E08000009,Trafford,2020-03-01,Broad spectrum antibiotics as a % of total prescribed,Percentage,prescriptions,10.3
E08000009,Trafford,2020-04-01,Broad spectrum antibiotics as a % of total prescribed,Percentage,prescriptions,12.3
E08000009,Trafford,2020-05-01,Broad spectrum antibiotics as a % of total prescribed,Percentage,prescriptions,14
E08000009,Trafford,2020-06-01,Broad spectrum antibiotics as a % of total prescribed,Percentage,prescriptions,12.8
E08000009,Trafford,2020-07-01,Broad spectrum antibiotics as a % of total prescribed,Percentage,prescriptions,12.6
E08000009,Trafford,2020-08-01,Broad spectrum antibiotics as a % of total prescribed,Percentage,prescriptions,13
E08000009,Trafford,2020-09-01,Broad spectrum antibiotics as a % of total prescribed,Percentage,prescriptions,11.9
E08000009,Trafford,2020-10-01,Broad spectrum antibiotics as a % of total prescribed,Percentage,prescriptions,12.7
E08000009,Trafford,2020-11-01,Broad spectrum antibiotics as a % of total prescribed,Percentage,prescriptions,13.5
E08000009,Trafford,2020-12-01,Broad spectrum antibiotics as a % of total prescribed,Percentage,prescriptions,13.9
E08000009,Trafford,2021-01-01,Broad spectrum antibiotics as a % of total prescribed,Percentage,prescriptions,12.8
E08000009,Trafford,2021-02-01,Broad spectrum antibiotics as a % of total prescribed,Percentage,prescriptions,13.8
E08000009,Trafford,2021-03-01,Broad spectrum antibiotics as a % of total prescribed,Percentage,prescriptions,13.1
E08000009,Trafford,2021-04-01,Broad spectrum antibiotics as a % of total prescribed,Percentage,prescriptions,12.6
E08000009,Trafford,2021-05-01,Broad spectrum antibiotics as a % of total prescribed,Percentage,prescriptions,12.8
E08000009,Trafford,2021-06-01,Broad spectrum antibiotics as a % of total prescribed,Percentage,prescriptions,12.5
E08000009,Trafford,2021-07-01,Broad spectrum antibiotics as a % of total prescribed,Percentage,prescriptions,12.6
E08000009,Trafford,2021-08-01,Broad spectrum antibiotics as a % of total prescribed,Percentage,prescriptions,12.9
