area_code,area_name,area_type,period,indicator,measure,unit,value,compared_to_England,inequality
E92000001,England,Country,2019/20 Q1,People receiving an NHS Health Check,Cumulative percentage from eligible,Persons,2,Not compared,NA
E92000001,England,Country,2019/20 Q1 - 2019/20 Q2,People receiving an NHS Health Check,Cumulative percentage from eligible,Persons,4,Not compared,NA
E92000001,England,Country,2019/20 Q1 - 2019/20 Q3,People receiving an NHS Health Check,Cumulative percentage from eligible,Persons,5.8,Not compared,NA
E92000001,England,Country,2019/20 Q1 - 2019/20 Q4,People receiving an NHS Health Check,Cumulative percentage from eligible,Persons,7.5,Not compared,NA
E92000001,England,Country,2019/20 Q1 - 2020/21 Q1,People receiving an NHS Health Check,Cumulative percentage from eligible,Persons,7.6,Not compared,NA
E92000001,England,Country,2019/20 Q1 - 2020/21 Q2,People receiving an NHS Health Check,Cumulative percentage from eligible,Persons,7.9,Not compared,NA
E92000001,England,Country,2019/20 Q1 - 2020/21 Q3,People receiving an NHS Health Check,Cumulative percentage from eligible,Persons,8.3,Not compared,NA
E92000001,England,Country,2019/20 Q1 - 2020/21 Q4,People receiving an NHS Health Check,Cumulative percentage from eligible,Persons,8.7,Not compared,NA
E92000001,England,Country,2019/20 Q1 - 2021/22 Q1,People receiving an NHS Health Check,Cumulative percentage from eligible,Persons,9.4,Not compared,NA
E92000001,England,Country,2019/20 Q1 - 2021/22 Q2,People receiving an NHS Health Check,Cumulative percentage from eligible,Persons,10.2,Not compared,NA
E92000001,England,Country,2019/20 Q1 - 2021/22 Q3,People receiving an NHS Health Check,Cumulative percentage from eligible,Persons,11,Not compared,NA
E92000001,England,Country,2019/20 Q1 - 2021/22 Q4,People receiving an NHS Health Check,Cumulative percentage from eligible,Persons,12.2,Not compared,NA
E92000001,England,Country,2019/20 Q1 - 2022/23 Q1,People receiving an NHS Health Check,Cumulative percentage from eligible,Persons,13.5,Not compared,NA
E92000001,England,Country,2019/20 Q1 - 2022/23 Q2,People receiving an NHS Health Check,Cumulative percentage from eligible,Persons,15.2,Not compared,NA
E92000001,England,Country,2019/20 Q1 - 2022/23 Q3,People receiving an NHS Health Check,Cumulative percentage from eligible,Persons,16.9,Not compared,NA
