area_code,area_name,period,indicator,measure,unit,value
E09000003,Barnet,2014/15,Social Care Service users who are satisfied with their care and support,Percentage,Persons,61
E09000004,Bexley,2014/15,Social Care Service users who are satisfied with their care and support,Percentage,Persons,60.8
E06000036,Bracknell Forest,2014/15,Social Care Service users who are satisfied with their care and support,Percentage,Persons,67.8
E09000006,Bromley,2014/15,Social Care Service users who are satisfied with their care and support,Percentage,Persons,55.8
E08000002,Bury,2014/15,Social Care Service users who are satisfied with their care and support,Percentage,Persons,65
E09000008,Croydon,2014/15,Social Care Service users who are satisfied with their care and support,Percentage,Persons,59
E92000001,England,2014/15,Social Care Service users who are satisfied with their care and support,Percentage,Persons,64.7
E09000016,Havering,2014/15,Social Care Service users who are satisfied with their care and support,Percentage,Persons,59.6
E09000017,Hillingdon,2014/15,Social Care Service users who are satisfied with their care and support,Percentage,Persons,56.6
E09000021,Kingston upon Thames,2014/15,Social Care Service users who are satisfied with their care and support,Percentage,Persons,61.9
E09000024,Merton,2014/15,Social Care Service users who are satisfied with their care and support,Percentage,Persons,63.3
E09000027,Richmond upon Thames,2014/15,Social Care Service users who are satisfied with their care and support,Percentage,Persons,60.7
E08000029,Solihull,2014/15,Social Care Service users who are satisfied with their care and support,Percentage,Persons,63
E08000007,Stockport,2014/15,Social Care Service users who are satisfied with their care and support,Percentage,Persons,64.9
E09000029,Sutton,2014/15,Social Care Service users who are satisfied with their care and support,Percentage,Persons,62.9
E08000009,Trafford,2014/15,Social Care Service users who are satisfied with their care and support,Percentage,Persons,63.8
E06000040,Windsor and Maidenhead,2014/15,Social Care Service users who are satisfied with their care and support,Percentage,Persons,66.6
E09000003,Barnet,2015/16,Social Care Service users who are satisfied with their care and support,Percentage,Persons,61.3
E09000004,Bexley,2015/16,Social Care Service users who are satisfied with their care and support,Percentage,Persons,63.2
E06000036,Bracknell Forest,2015/16,Social Care Service users who are satisfied with their care and support,Percentage,Persons,71.5
E09000006,Bromley,2015/16,Social Care Service users who are satisfied with their care and support,Percentage,Persons,60.5
E08000002,Bury,2015/16,Social Care Service users who are satisfied with their care and support,Percentage,Persons,66
E09000008,Croydon,2015/16,Social Care Service users who are satisfied with their care and support,Percentage,Persons,53.2
E92000001,England,2015/16,Social Care Service users who are satisfied with their care and support,Percentage,Persons,64.4
E09000016,Havering,2015/16,Social Care Service users who are satisfied with their care and support,Percentage,Persons,62
E09000017,Hillingdon,2015/16,Social Care Service users who are satisfied with their care and support,Percentage,Persons,51.9
E09000021,Kingston upon Thames,2015/16,Social Care Service users who are satisfied with their care and support,Percentage,Persons,57.6
E09000024,Merton,2015/16,Social Care Service users who are satisfied with their care and support,Percentage,Persons,58
